1 27.356 26.847 27.240 26.834
2 14.621 14.404 14.531 14.492
4 7.396 7.448 7.364 7.487
6 5.253 5.238 5.238 5.233
8 4.088 4.121 4.108 4.067
10 3.365 3.348 3.385 3.356
12 2.836 2.824 2.818 2.817
14 2.536 2.486 2.434 2.451
16 2.405 2.442 2.234 2.176
20 1.893 2.054 1.922 1.978
24 2.035 1.828 1.873 1.889
30 1.777 1.813 1.717 1.770
40 1.985 1.954 1.929 1.957
